Top 90 Arabic Words,,
Word,Translation,Part of speech
من; from,preposition
هذا,"that",conjunction
من,"which",conjunction
ال,the,article
في,"in",preposition
على,"on",preposition
و,and,conjunction
الى,"to",preposition
ب,"at",preposition
نفسي,"-self, oneself ( reflexive )",pronoun
من ال,from the,preposition
خلال,"by, for, through",preposition
من قبل,"by",preposition
من قبل,"for",preposition
مع,with,preposition
لا,no; not,adverb
هو\هي,his/her/its/your,possessive
ل,"for, to, in order to",preposition
مثل,"like, as",conjunction
أكثر,more,adjective
أو,or,conjunction
لكن,but,conjunction
لك أو الشيء الخاص بك,your,possessive
أنا,me,pronoun
إذا,"if, whether",conjunction
بدون,without,preposition
على,"on top of, over, about",preposition
هذا,this,adjective
مسبقا,already; still,adverb
بين,between,preposition
متى؟,when,conjunction
جميع,"all, every",adjective
لتكن,to be,verb
هم,"they are, you ( pl. ) are",verb
أيضا,"too, also, as well",adverb
كان,was,verb
كان هنالك,I/he/she/it/there was (or used to be),verb
كانت,was,verb
جدا,very,adverb
سنين,years,noun (masculine)
ريثما,until,preposition
من,from; since,preposition
ملك لي,my,possessive
لأن,because,conjunction
ماذا؟,what?; how adjective,pronoun
فقط,"only, solely",adverb
أنا,I,pronoun
هنالك,there is/are,verb
وقت,"time, instance",noun (feminine)
تستطيع,can,verb
جميع,all; every,adjective
مثل هذا,like that,adverb
نحن,us,pronoun
ليس; nor; no even,"conjunction, adverb"
جزء,part; message,noun (masculine / feminine)
ليديه,has,verb
هو,"he, it",pronoun (masculine)
واحد,one,number
أين,where,preposition
جيد,"fine, well",adjective
طقس, weather,noun (masculine)
نفس,same,adjective
هذا,that,pronoun
الآن,now,adverb
كل,each; every,determiner
و,and,conjunction
حياة,life,noun (feminine)
آخر,"other, another",adjective
يعد,after,preposition
لك,"to you, for you; yourself",pronoun
غير,others,pronoun
حتى لو,"though, although, even though",conjunction
هذا,that,adjective
هذا,that,pronoun
هو/هي/هذا,he/she/it does/makes,verb
حكومة,government,noun (masculine)
فإذا,so,adverb
خلال,during,preposition
دائما,always,adverb
يوم,day,noun (masculine)
كثيرا,so much,"adjective, adverb"
نعم,yes; reflexive pronoun,"noun, pronoun"
قال,said; told,verb
كان,been,past participle
كبير,"large, great, big",adjective
دولة,country,noun (masculine)
بالنسبة ل,as; according to,preposition
أقل,less; fewer,adjective
