HSK 1 Vocabulary List,,,
Hanzi,Pinyin,English,Category
零,líng,zero,Numeral
一,yī,one,Numeral
二,èr,two,Numeral
三,sān,three,Numeral
四,sì,four,Numeral
五,wǔ,five,Numeral
六,liù,six,Numeral
七,qī,seven,Numeral
八,bā,eight,Numeral
九,jiǔ,nine,Numeral
十,shí,ten,Numeral
些,xiē,some,Quantifier
个,ge,"one, a, an",Quantifier
块,kuài,piece,Quantifier
本,běn,volume,Quantifier
岁,suì,year,Quantifier
茶,chá,tea,Noun
水果,shuǐguǒ,fruit,Noun
苹果,píngguǒ,apple,Noun
水,shuǐ,water,Noun
菜,cài,vegetable,Noun
米饭,mǐfàn,rice,Noun
杯子,bēizi,cup,Noun
家,jiā,home,Noun
饭店,fàndiàn,restaurant,Noun
学校,xuéxiào,school,Noun
商店,shāngdiàn,store,Noun
医院,yīyuàn,hospital,Noun
火车站,huǒchēzhàn,train station,Noun
上午,shàngwǔ,morning,Noun
中午,zhōngwǔ,noon,Noun
下午,xiàwǔ,afternoon,Noun
今天,jīntiān,today,Noun
明天,míngtiān,tomorrow,Noun
昨天,zuòtiān,yesterday,Noun
时候,shíhóu,time,Noun
点,diǎn,"dot, spot",Noun
现在,xiànzài,now,Noun
分钟,fēnzhōng,minute,Noun
日,rì,day,Noun
星期,xīngqī,week,Noun
月,yuè,month,Noun
年,nián,year,Noun
后面,hòumiàn,behind,Noun
前面,qiánmiàn,front,Noun
上,shàng,up,Noun
下,xià,down,Noun
里,lǐmiàn,inside,Noun
衣服,yīfu,cloth,Noun
老师,lǎoshī,teacher,Noun
同学,tóngxué,shoolmate,Noun
学生,xuéshēng,student,Noun
医生,yīshēng,doctor,Noun
小姐,xiǎojiě,Miss,Noun
先生,xiānshēng,Sir,Noun
朋友,péngyǒu,friend,Noun
爸爸,bàba,father,Noun
妈妈,māma,mother,Noun
儿子,érzi,son,Noun
女儿,nǚér,daughter,Noun
汉语,hànyǔ,mandarin Chinese,Noun
字,zì,character,Noun
中国,zhōngguò,China,Noun
北京,běijīng,Beijing,Noun
猫,māo,cat,Noun
狗,gǒu,dog,Noun
人,rén,person,Noun
名字,míngzi,name,Noun
东西,dōngxī,thing,Noun
书,shū,book,Noun
椅子,yǐzi,chair,Noun
桌子,zhuōzi,desk,Noun
电脑,diànnǎo,computer,Noun
电视,diànshì,television,Noun
电影,diànyǐng,movie,Noun
飞机,fēijī,airplane,Noun
出租车,chūzūchē,taxi,Noun
天气,tiānqì,weather,Noun
钱,qián,money,Noun
冷,lěng,cold,Adjective
热,rè,hot,Adjective
好,hǎo,good,Adjective
高兴,gāoxìng,happy,Adjective
漂亮,piàoliàng,beautiful,Adjective
少,shǎo,"few, little",Adjective
多,duō,"many, much",Adjective
小,xiǎo,small,Adjective
大,dà,big,Adjective
学习,xuéxí,study,Verb
工作,gōngzuò,work,Verb
看见,kànjiàn,see,Verb
看,kàn,look,Verb
读,dú,read,Verb
写,xiě,write,Verb
听,tīng,listen,Verb
说话,shuōhuà,speak,Verb
叫,jiào,call,Verb
请,qǐng,please,Verb
不客气,búkèqì,you are welcome,Verb
谢谢,xièxie,thank,Verb
没关系,méiguānxì,It doesn’t matter,Verb
对不起,duìbùqǐ,sorry,Verb
再见,zàijiàn,good-bye,Verb
做,zuò,do,Verb
是,shì,"be (am, is, are)",Verb
有,yǒu,have,Verb
想,xiǎng,want,Verb
能,néng,"can, be able to",Verb
会,huì,can,Verb
住,zhù,live,Verb
认识,rènshi,know,Verb
来,lái,come,Verb
去,qù,go,Verb
回,huí,return,Verb
下雨,xiàyǔ,rain,Verb
喜欢,xǐhuān,to like,Verb
爱,ài,love,Verb
打电话,dǎdiànhuà,call up,Verb
买,mǎi,buy,Verb
睡觉,shuìjiào,sleep,Verb
坐,zuò,sit,Verb
喝,hē,drink,Verb
吃,chī,eat,Verb
开,kāi,open,Verb
都,dōu,all,Adverb
没,méi,no,Adverb
不,bù,not,Adverb
很,hěn,"quite, very",Adverb
太,tài,too,Adverb
几,jǐ,"a few, how many",Pronoun
多少,duōshǎo,how much,Pronoun
怎么,zěnme,how,Pronoun
怎么样,zěnmeyàng,how about,Pronoun
哪（哪儿）,nǎ (nǎr),where,Pronoun
什么,shěnme,"what, why",Pronoun
谁,shéi,who,Pronoun
那 (那儿),nà (nàr),"there, that",Pronoun
这 (这儿),zhè (zhèr),"here, this",Pronoun
我,wǒ,"I, me",Pronoun
我们,wǒmen,"we, us (pl.)",Pronoun
你,nǐ,you,Pronoun
你们,nǐmen,you (pl.),Pronoun
他,tā,"he, him",Pronoun
她,tā,"she, her",Pronoun
他们,tāmen,"they (male+female / male, pl.)",Pronoun
她们,tāmen,"they (females, pl.)",Pronoun
和,hé,and,Conjunction
了,le,off,Auxiliary
吗,ma,yes-no?,Auxiliary
的,de,of,Auxiliary
呢,ne,how about,Auxiliary
在,zài,"in, at",Preposition
喂,wèi,hello,Interjection
